,Date,Open,High,Low,Close,Adj Close,Volume
8687,2015-05-26,132.600006,132.91000400000001,129.119995,129.619995,121.870567,70697600.0
8688,2015-05-27,130.33999599999999,132.259995,130.050003,132.03999299999998,124.145889,45833200.0
8689,2015-05-28,131.860001,131.949997,131.100006,131.779999,123.901421,30733300.0
8690,2015-05-29,131.229996,131.449997,129.899994,130.279999,122.491119,50884500.0
8691,2015-06-01,130.279999,131.389999,130.050003,130.53999299999998,122.73555800000001,32112800.0
8692,2015-06-02,129.860001,130.66000400000001,129.320007,129.96000700000002,122.190262,33667600.0
8693,2015-06-03,130.66000400000001,130.940002,129.899994,130.119995,122.340675,30889400.0
8694,2015-06-04,129.580002,130.580002,128.91000400000001,129.360001,121.626129,38450100.0
8695,2015-06-05,129.5,129.690002,128.360001,128.649994,120.958565,35626800.0
8696,2015-06-08,128.899994,129.21000700000002,126.83000200000001,127.800003,120.159378,52674800.0
8697,2015-06-09,126.699997,128.080002,125.620003,127.41999799999999,119.80210100000001,56075400.0
8698,2015-06-10,127.91999799999999,129.33999599999999,127.849998,128.880005,121.17483500000002,39087300.0
8699,2015-06-11,129.179993,130.179993,128.479996,128.58999599999999,120.90214499999999,35390900.0
8700,2015-06-12,128.190002,128.330002,127.110001,127.16999799999999,119.567047,36886200.0
8701,2015-06-15,126.099998,127.239998,125.709999,126.91999799999999,119.331985,43988900.0
8702,2015-06-16,127.029999,127.849998,126.370003,127.599998,119.97133600000001,31494100.0
8703,2015-06-17,127.720001,127.879997,126.739998,127.300003,119.68928500000001,32918100.0
8704,2015-06-18,127.230003,128.309998,127.220001,127.879997,120.234604,35407200.0
8705,2015-06-19,127.709999,127.82,126.400002,126.599998,119.03112,54716900.0
8706,2015-06-22,127.489998,128.059998,127.08000200000001,127.610001,119.98074299999999,34039300.0
8707,2015-06-23,127.480003,127.610001,126.879997,127.029999,119.43541699999999,30268900.0
8708,2015-06-24,127.209999,129.800003,127.120003,128.110001,120.450851,55280900.0
8709,2015-06-25,128.860001,129.199997,127.5,127.5,119.87732700000001,31938100.0
8710,2015-06-26,127.66999799999999,127.989998,126.510002,126.75,119.172173,44066800.0
8711,2015-06-29,125.459999,126.470001,124.480003,124.529999,117.084892,49161400.0
8712,2015-06-30,125.57,126.120003,124.860001,125.43,117.931068,44370700.0
8713,2015-07-01,126.900002,126.940002,125.989998,126.599998,119.03112,30238800.0
8714,2015-07-02,126.43,126.690002,125.769997,126.440002,118.88069899999999,27211000.0
8715,2015-07-06,124.940002,126.230003,124.849998,126.0,118.46701000000002,28060400.0
8716,2015-07-07,125.889999,126.150002,123.769997,125.690002,118.175529,46946800.0
8717,2015-07-08,124.480003,124.639999,122.540001,122.57,115.242065,60761600.0
8718,2015-07-09,123.849998,124.059998,119.220001,120.07,112.891525,77821600.0
8719,2015-07-10,121.940002,123.849998,121.209999,123.279999,115.909622,61354500.0
8720,2015-07-13,125.029999,125.760002,124.32,125.660004,118.147324,41440500.0
8721,2015-07-14,126.040001,126.370003,125.040001,125.610001,118.100319,31768100.0
8722,2015-07-15,125.720001,127.150002,125.58000200000001,126.82,119.23798400000001,33649200.0
8723,2015-07-16,127.739998,128.570007,127.349998,128.509995,120.82694199999999,36222400.0
8724,2015-07-17,129.080002,129.619995,128.309998,129.619995,121.870567,46164700.0
8725,2015-07-20,130.970001,132.970001,130.699997,132.070007,124.174103,58900200.0
8726,2015-07-21,132.850006,132.919998,130.320007,130.75,122.933022,76756400.0
8727,2015-07-22,121.989998,125.5,121.989998,125.220001,117.733635,115450600.0
8728,2015-07-23,126.199997,127.089996,125.059998,125.160004,117.677231,50999500.0
8729,2015-07-24,125.32,125.739998,123.900002,124.5,117.056656,42162300.0
8730,2015-07-27,123.089996,123.610001,122.120003,122.769997,115.43011499999999,44455500.0
8731,2015-07-28,123.379997,123.910004,122.550003,123.379997,116.00363899999999,33618100.0
8732,2015-07-29,123.150002,123.5,122.269997,122.989998,115.636932,37011700.0
8733,2015-07-30,122.32,122.57,121.709999,122.370003,115.054024,33628300.0
8734,2015-07-31,122.599998,122.639999,120.910004,121.300003,114.047997,42885000.0
8735,2015-08-03,121.5,122.57,117.519997,118.440002,111.35897800000001,69976000.0
8736,2015-08-04,117.41999799999999,117.699997,113.25,114.639999,107.786156,124138600.0
8737,2015-08-05,112.949997,117.440002,112.099998,115.400002,108.50074,99312600.0
